"","country","continent","year","lifeExp","pop","gdpPercap"
"67","Costa Rica","Americas",1982,73.45,2424367,5262.734751
"68","Costa Rica","Americas",1987,74.752,2799811,5629.915318
"69","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"70","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"71","Costa Rica","Americas",2002,78.123,3834934,7723.447195
"72","Costa Rica","Americas",2007,78.782,4133884,9645.06142
"73","Cuba","Americas",1952,59.421,6007797,5586.53878
"74","Cuba","Americas",1957,62.325,6640752,6092.174359
"75","Cuba","Americas",1962,65.246,7254373,5180.75591
"76","Cuba","Americas",1967,68.29,8139332,5690.268015
"77","Cuba","Americas",1972,70.723,8831348,5305.445256
"78","Cuba","Americas",1977,72.649,9537988,6380.494966
"79","Cuba","Americas",1982,73.717,9789224,7316.918107
"80","Cuba","Americas",1987,74.174,10239839,7532.924763
"81","Cuba","Americas",1992,74.414,10723260,5592.843963
"82","Cuba","Americas",1997,76.151,10983007,5431.990415
"83","Cuba","Americas",2002,77.158,11226999,6340.646683
"84","Cuba","Americas",2007,78.273,11416987,8948.102923
"85","Dominican Republic","Americas",1952,45.928,2491346,1397.717137
"86","Dominican Republic","Americas",1957,49.828,2923186,1544.402995
"87","Dominican Republic","Americas",1962,53.459,3453434,1662.137359
"88","Dominican Republic","Americas",1967,56.751,4049146,1653.723003
"89","Dominican Republic","Americas",1972,59.631,4671329,2189.874499
"90","Dominican Republic","Americas",1977,61.788,5302800,2681.9889
"91","Dominican Republic","Americas",1982,63.727,5968349,2861.092386
"92","Dominican Republic","Americas",1987,66.046,6655297,2899.842175
"93","Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"94","Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"95","Dominican Republic","Americas",2002,70.847,8650322,4563.808154
"96","Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"97","Ecuador","Americas",1952,48.357,3548753,3522.110717
"98","Ecuador","Americas",1957,51.356,4058385,3780.546651
"99","Ecuador","Americas",1962,54.64,4681707,4086.114078
"100","Ecuador","Americas",1967,56.678,5432424,4579.074215
"101","Ecuador","Americas",1972,58.796,6298651,5280.99471
"102","Ecuador","Americas",1977,61.31,7278866,6679.62326
"103","Ecuador","Americas",1982,64.342,8365850,7213.791267
"104","Ecuador","Americas",1987,67.231,9545158,6481.776993
"105","Ecuador","Americas",1992,69.613,10748394,7103.702595
"106","Ecuador","Americas",1997,72.312,11911819,7429.455877
"107","Ecuador","Americas",2002,74.173,12921234,5773.044512
"108","Ecuador","Americas",2007,74.994,13755680,6873.262326
"109","El Salvador","Americas",1952,45.262,2042865,3048.3029
"110","El Salvador","Americas",1957,48.57,2355805,3421.523218
"111","El Salvador","Americas",1962,52.307,2747687,3776.803627
"112","El Salvador","Americas",1967,55.855,3232927,4358.595393
"113","El Salvador","Americas",1972,58.207,3790903,4520.246008
"114","El Salvador","Americas",1977,56.696,4282586,5138.922374
"115","El Salvador","Americas",1982,56.604,4474873,4098.344175
"116","El Salvador","Americas",1987,63.154,4842194,4140.442097
"117","El Salvador","Americas",1992,66.798,5274649,4444.2317
"118","El Salvador","Americas",1997,69.535,5783439,5154.825496
"119","El Salvador","Americas",2002,70.734,6353681,5351.568666
"120","El Salvador","Americas",2007,71.878,6939688,5728.353514
"121","Guatemala","Americas",1952,42.023,3146381,2428.237769
"122","Guatemala","Americas",1957,44.142,3640876,2617.155967
"123","Guatemala","Americas",1962,46.954,4208858,2750.364446
"124","Guatemala","Americas",1967,50.016,4690773,3242.531147
"125","Guatemala","Americas",1972,53.738,5149581,4031.408271
"126","Guatemala","Americas",1977,56.029,5703430,4879.992748
"127","Guatemala","Americas",1982,58.137,6395630,4820.49479
"128","Guatemala","Americas",1987,60.782,7326406,4246.485974
"129","Guatemala","Americas",1992,63.373,8486949,4439.45084
"130","Guatemala","Americas",1997,66.322,9803875,4684.313807
"131","Guatemala","Americas",2002,68.978,11178650,4858.347495
"132","Guatemala","Americas",2007,70.259,12572928,5186.050003
"133","Honduras","Americas",1952,41.912,1517453,2194.926204
"134","Honduras","Americas",1957,44.665,1770390,2220.487682
"135","Honduras","Americas",1962,48.041,2090162,2291.156835
"136","Honduras","Americas",1967,50.924,2500689,2538.269358
"137","Honduras","Americas",1972,53.884,2965146,2529.842345
"138","Honduras","Americas",1977,57.402,3055235,3203.208066
"139","Honduras","Americas",1982,60.909,3669448,3121.760794
"140","Honduras","Americas",1987,64.492,4372203,3023.096699
"141","Honduras","Americas",1992,66.399,5077347,3081.694603
"142","Honduras","Americas",1997,67.659,5867957,3160.454906
"143","Honduras","Americas",2002,68.565,6677328,3099.72866
"144","Honduras","Americas",2007,70.198,7483763,3548.330846
"145","Mexico","Americas",1952,50.789,30144317,3478.125529
"146","Mexico","Americas",1957,55.19,35015548,4131.546641
"147","Mexico","Americas",1962,58.299,41121485,4581.609385
"148","Mexico","Americas",1967,60.11,47995559,5754.733883
"149","Mexico","Americas",1972,62.361,55984294,6809.40669
"150","Mexico","Americas",1977,65.032,63759976,7674.929108
"151","Mexico","Americas",1982,67.405,71640904,9611.147541
"152","Mexico","Americas",1987,69.498,80122492,8688.156003
"153","Mexico","Americas",1992,71.455,88111030,9472.384295
"154","Mexico","Americas",1997,73.67,95895146,9767.29753
"155","Mexico","Americas",2002,74.902,102479927,10742.44053
"156","Mexico","Americas",2007,76.195,108700891,11977.57496
"157","Nicaragua","Americas",1952,42.314,1165790,3112.363948
"158","Nicaragua","Americas",1957,45.432,1358828,3457.415947
"159","Nicaragua","Americas",1962,48.632,1590597,3634.364406
"160","Nicaragua","Americas",1967,51.884,1865490,4643.393534
"161","Nicaragua","Americas",1972,55.151,2182908,4688.593267
"162","Nicaragua","Americas",1977,57.47,2554598,5486.371089
"163","Nicaragua","Americas",1982,59.298,2979423,3470.338156
"164","Nicaragua","Americas",1987,62.008,3344353,2955.984375
"165","Nicaragua","Americas",1992,65.843,4017939,2170.151724
"166","Nicaragua","Americas",1997,68.426,4609572,2253.023004
"167","Nicaragua","Americas",2002,70.836,5146848,2474.548819
"168","Nicaragua","Americas",2007,72.899,5675356,2749.320965
"169","Panama","Americas",1952,55.191,940080,2480.380334
"170","Panama","Americas",1957,59.201,1063506,2961.800905
"171","Panama","Americas",1962,61.817,1215725,3536.540301
"172","Panama","Americas",1967,64.071,1405486,4421.009084
"173","Panama","Americas",1972,66.216,1616384,5364.249663
"174","Panama","Americas",1977,68.681,1839782,5351.912144
"175","Panama","Americas",1982,70.472,2036305,7009.601598
"176","Panama","Americas",1987,71.523,2253639,7034.779161
"177","Panama","Americas",1992,72.462,2484997,6618.74305
"178","Panama","Americas",1997,73.738,2734531,7113.692252
"179","Panama","Americas",2002,74.712,2990875,7356.031934
"180","Panama","Americas",2007,75.537,3242173,9809.185636
"181","Paraguay","Americas",1952,62.649,1555876,1952.308701
"182","Paraguay","Americas",1957,63.196,1770902,2046.154706
"183","Paraguay","Americas",1962,64.361,2009813,2148.027146
"184","Paraguay","Americas",1967,64.951,2287985,2299.376311
"185","Paraguay","Americas",1972,65.815,2614104,2523.337977
"186","Paraguay","Americas",1977,66.353,2984494,3248.373311
"187","Paraguay","Americas",1982,66.874,3366439,4258.503604
"188","Paraguay","Americas",1987,67.378,3886512,3998.875695
"189","Paraguay","Americas",1992,68.225,4483945,4196.411078
"190","Paraguay","Americas",1997,69.4,5154123,4247.400261
"191","Paraguay","Americas",2002,70.755,5884491,3783.674243
"192","Paraguay","Americas",2007,71.752,6667147,4172.838464
"193","Peru","Americas",1952,43.902,8025700,3758.523437
"194","Peru","Americas",1957,46.263,9146100,4245.256698
"195","Peru","Americas",1962,49.096,10516500,4957.037982
"196","Peru","Americas",1967,51.445,12132200,5788.09333
"197","Peru","Americas",1972,55.448,13954700,5937.827283
"198","Peru","Americas",1977,58.447,15990099,6281.290855
"199","Peru","Americas",1982,61.406,18125129,6434.501797
"200","Peru","Americas",1987,64.134,20195924,6360.943444
"201","Peru","Americas",1992,66.458,22430449,4446.380924
"202","Peru","Americas",1997,68.386,24748122,5838.347657
"203","Peru","Americas",2002,69.906,26769436,5909.020073
"204","Peru","Americas",2007,71.421,28674757,7408.905561
"205","Puerto Rico","Americas",1952,64.28,2227000,3081.959785
"206","Puerto Rico","Americas",1957,68.54,2260000,3907.156189
"207","Puerto Rico","Americas",1962,69.62,2448046,5108.34463
"208","Puerto Rico","Americas",1967,71.1,2648961,6929.277714
"209","Puerto Rico","Americas",1972,72.16,2847132,9123.041742
"210","Puerto Rico","Americas",1977,73.44,3080828,9770.524921
"211","Puerto Rico","Americas",1982,73.75,3279001,10330.98915
"212","Puerto Rico","Americas",1987,74.63,3444468,12281.34191
"213","Puerto Rico","Americas",1992,73.911,3585176,14641.58711
"214","Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"215","Puerto Rico","Americas",2002,77.778,3859606,18855.60618
"216","Puerto Rico","Americas",2007,78.746,3942491,19328.70901
"217","Spain","Europe",1952,64.94,28549870,3834.034742
"218","Spain","Europe",1957,66.66,29841614,4564.80241
"219","Spain","Europe",1962,69.69,31158061,5693.843879
"220","Spain","Europe",1967,71.44,32850275,7993.512294
"221","Spain","Europe",1972,73.06,34513161,10638.75131
"222","Spain","Europe",1977,74.39,36439000,13236.92117
"223","Spain","Europe",1982,76.3,37983310,13926.16997
"224","Spain","Europe",1987,76.9,38880702,15764.98313
"225","Spain","Europe",1992,77.57,39549438,18603.06452
"226","Spain","Europe",1997,78.77,39855442,20445.29896
"227","Spain","Europe",2002,79.78,40152517,24835.47166
"228","Spain","Europe",2007,80.941,40448191,28821.0637
"229","Uruguay","Americas",1952,66.071,2252965,5716.766744
"230","Uruguay","Americas",1957,67.044,2424959,6150.772969
"231","Uruguay","Americas",1962,68.253,2598466,5603.357717
"232","Uruguay","Americas",1967,68.468,2748579,5444.61962
"233","Uruguay","Americas",1972,68.673,2829526,5703.408898
"234","Uruguay","Americas",1977,69.481,2873520,6504.339663
"235","Uruguay","Americas",1982,70.805,2953997,6920.223051
"236","Uruguay","Americas",1987,71.918,3045153,7452.398969
"237","Uruguay","Americas",1992,72.752,3149262,8137.004775
"238","Uruguay","Americas",1997,74.223,3262838,9230.240708
"239","Uruguay","Americas",2002,75.307,3363085,7727.002004
"240","Uruguay","Americas",2007,76.384,3447496,10611.46299
"241","Venezuela","Americas",1952,55.088,5439568,7689.799761
"242","Venezuela","Americas",1957,57.907,6702668,9802.466526
"243","Venezuela","Americas",1962,60.77,8143375,8422.974165
"244","Venezuela","Americas",1967,63.479,9709552,9541.474188
"245","Venezuela","Americas",1972,65.712,11515649,10505.25966
"246","Venezuela","Americas",1977,67.456,13503563,13143.95095
"247","Venezuela","Americas",1982,68.557,15620766,11152.41011
"248","Venezuela","Americas",1987,70.19,17910182,9883.584648
"249","Venezuela","Americas",1992,71.15,20265563,10733.92631
"250","Venezuela","Americas",1997,72.146,22374398,10165.49518
"251","Venezuela","Americas",2002,72.766,24287670,8605.047831
"252","Venezuela","Americas",2007,73.747,26084662,11415.80569
